Neighbourhood,Plannedـtransactionـdetails,Detailsـtransaction,Date,transactionـnumber,Total_price,Area,Price_per_meter
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 176,"Thursday, 13 January 2022 ",15906251,834782.00,642.14,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 178,"Thursday, 13 January 2022 ",15906446,780000.00,600.00,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 180,"Thursday, 13 January 2022 ",15906513,780000.00,600.00,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 182,"Thursday, 13 January 2022 ",15906597,780000.00,600.00,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 184,"Thursday, 13 January 2022 ",15906669,772688.00,594.38,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 186,"Thursday, 13 January 2022 ",15906684,772688.00,594.38,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 188,"Thursday, 13 January 2022 ",15906775,780000.00,600.00,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 190,"Thursday, 13 January 2022 ",15906804,871650.00,670.50,1300.00
1353 فى/ 20/ 5/ 1413,مخطط/3212,قطعة 785,"Monday, 24 January 2022 ",15988483,450000.00,979.80,459.00
6 / 8 / 2 / 1429,مخطط/3240/ أ,قطعة 193/1,"Sunday, 30 January 2022 ",16052150,615000.00,300.00,2050.00
6 / 8 / 2 / 1429,مخطط/3240/ أ,قطعة 193/2,"Sunday, 30 January 2022 ",16051766,682650.00,333.00,2050.00
667/ 23/ 9/ 1410,مخطط/3242,قطعة 1976/1,"Monday, 10 January 2022 ",15874769,675625.00,287.50,2350.00
667/ 23/ 9/ 1410,مخطط/3242,قطعة 1978/1,"Monday, 31 January 2022 ",16066882,675000.00,300.00,2250.00
667/ 23/ 9/ 1410,مخطط/3242,قطعة 1980/1,"Monday, 31 January 2022 ",16066927,695677.00,309.19,2250.00
6868 فى/ 3/ 12/ 1411,مخطط/3804,قطعة 54/2,"Tuesday, 4 January 2022 ",15815892,1869600.00,334.63,5587.00
أحد,مخطط/2022,قطعة 172,"Tuesday, 18 January 2022 ",15942311,1250000.00,600.00,2083.00
أحد,مخطط/2022,قطعة 173,"Tuesday, 18 January 2022 ",15941902,1245000.00,600.00,2075.00
أحد,مخطط/2485,قطعة 381,"Sunday, 16 January 2022 ",15920608,866250.00,825.00,1050.00
أحد,مخطط/3152,قطعة 215,"Tuesday, 11 January 2022 ",15879149,300000.00,704.00,426.00
أخرى,مخطط/1669,قطعة بدون,"Sunday, 30 January 2022 ",16022794,450000.00,253.10,1778.00
أخرى,مخطط/3242,قطعة 550/1,"Monday, 17 January 2022 ",15935092,654000.00,300.00,2180.00
أخرى,مخطط/897,قطعة 228,"Thursday, 20 January 2022 ",15970864,2200000.00,686.00,3207.00
أخرى,مخطط/897,قطعة 229,"Thursday, 20 January 2022 ",15970922,2000000.00,560.00,3571.00
أخرى,مخطط/أخرى,قطعة ب ى ت/1,"Wednesday, 12 January 2022 ",15884966,110000.00,150.85,729.00
ارضة الجو منطقة العز…,مخطط/2740/ أ,قطعة 2086,"Wednesday, 5 January 2022 ",15836431,400000.00,630.00,635.00
اشبيليا,مخطط/2495/ أ,قطعة 55/1,"Monday, 10 January 2022 ",15872813,580000.00,364.50,1591.00
اشبيليا,مخطط/2733,قطعة 66,"Tuesday, 4 January 2022 ",15822958,1400000.00,625.00,2240.00
اشبيليا,مخطط/2888,قطعة 26/2,"Thursday, 6 January 2022 ",15840903,700000.00,331.25,2113.00
اشبيليا,مخطط/2932,قطعة 39/1,"Sunday, 30 January 2022 ",16054486,1500000.00,600.00,2500.00
اشبيليا,مخطط/2935,قطعة 9,"Tuesday, 25 January 2022 ",16015427,4700000.00,1040.00,4519.00
اشبيليا,مخطط/2958/ أ,قطعة 45/2,"Wednesday, 19 January 2022 ",15952934,1140000.00,511.50,2229.00
اشبيليا,مخطط/2979,قطعة 441/2,"Tuesday, 4 January 2022 ",15820390,1844722.00,437.50,4217.00
اشبيليا,مخطط/2979,قطعة 441/2,"Sunday, 9 January 2022 ",15860296,1520000.00,437.50,3474.00
اشبيليا,مخطط/2979,قطعة 522,"Wednesday, 19 January 2022 ",15952517,1000000.00,500.00,2000.00
اشبيليا,مخطط/2979,قطعة 791,"Monday, 31 January 2022 ",16065597,1850000.00,600.00,3083.00
اشبيليا,مخطط/3010,قطعة 40,"Monday, 24 January 2022 ",15991978,3000000.00,863.92,3473.00
اشبيليا,مخطط/3011,قطعة 152/1,"Sunday, 9 January 2022 ",15858235,3317024.00,910.00,3645.00
اشبيليا,مخطط/3011,قطعة 265/1,"Sunday, 9 January 2022 ",15855449,2453975.00,450.00,5453.00
اشبيليا,مخطط/3011,قطعة 72,"Monday, 10 January 2022 ",15870441,2444767.00,609.90,4008.00
اشبيليا,مخطط/3159,قطعة 43/1,"Tuesday, 4 January 2022 ",15817806,1656348.00,391.50,4231.00
اشبيليا,مخطط/3183,قطعة 144,"Monday, 3 January 2022 ",15805519,1800000.00,500.00,3600.00
اشبيليا,مخطط/3183,قطعة 164/1,"Tuesday, 18 January 2022 ",15930617,20000.00,250.00,80.00
اشبيليا,مخطط/3183,قطعة 253/2,"Sunday, 2 January 2022 ",15797548,1600000.00,300.00,5333.00
اشبيليا,مخطط/مربعات,قطعة 120/1,"Wednesday, 19 January 2022 ",15959864,750000.00,250.00,3000.00
الازدهار,مخطط/1822/ أ,قطعة 1221,"Tuesday, 18 January 2022 ",15949851,2475000.00,550.00,4500.00
الازدهار,مخطط/1822/ أ,عدد العقارات 3-أول ق…,"Tuesday, 11 January 2022 ",15887551,7755000.00,1650.00,4700.00
الازدهار,مخطط/1822/ أ,عدد العقارات 3-أول ق…,"Tuesday, 11 January 2022 ",15887527,7444800.00,1584.00,4700.00
الازدهار,مخطط/1822/ ج,قطعة 874/1,"Wednesday, 12 January 2022 ",15893473,1300000.00,312.00,4167.00
الازدهار,مخطط/1822/ د,قطعة 122/2,"Tuesday, 11 January 2022 ",15886058,1400000.00,237.50,5895.00
الازدهار,مخطط/3145,قطعة 1011,"Sunday, 30 January 2022 ",16052407,480000.00,810.00,593.00
الامانة,مخطط/2078/ أ ب,قطعة 3233/1,"Wednesday, 5 January 2022 ",15831828,1549375.00,462.50,3350.00
الامانة,مخطط/2078/ أ ب,قطعة 3426,"Saturday, 1 January 2022 ",15791219,2000000.00,442.00,4525.00
الامانة,مخطط/2357,قطعة 575/1,"Monday, 3 January 2022 ",15811059,1501500.00,429.00,3500.00
الاندلس,مخطط/1628,قطعة 316,"Wednesday, 5 January 2022 ",15832003,1437500.00,780.00,1843.00
الاندلس,مخطط/1628,قطعة 756/763/1,"Wednesday, 5 January 2022 ",15836137,2300000.00,394.50,5830.00
الاندلس,مخطط/1896,قطعة 1145/1,"Tuesday, 4 January 2022 ",15820611,1800000.00,275.00,6545.00
الاندلس,مخطط/1896,عدد العقارات 3-أول ق…,"Thursday, 13 January 2022 ",15904555,7110000.00,2370.00,3000.00
الاندلس,مخطط/3188,قطعة 71/1/2,"Thursday, 27 January 2022 ",16039231,400000.00,225.00,1778.00
الاندلس,مخطط/أخرى,قطعة 3,"Monday, 17 January 2022 ",15932881,5100000.00,2040.00,2500.00
البايونية,مخطط/3804,قطعة 424/2,"Monday, 24 January 2022 ",15993190,1998000.00,375.00,5328.00
البديعة,مخطط/1638,قطعة 10/2,"Sunday, 23 January 2022 ",15981611,1464940.00,378.00,3876.00
البديعة,مخطط/1638,قطعة 1128/2,"Tuesday, 18 January 2022 ",15947773,925116.00,312.50,2960.00
البديعة,مخطط/1638,قطعة 1504/4,"Thursday, 20 January 2022 ",15973340,500000.00,187.50,2667.00
البديعة,مخطط/1638,قطعة 2175,"Wednesday, 26 January 2022 ",16019104,700000.00,400.00,1750.00
البديعة,مخطط/1638,قطعة 2396,"Thursday, 6 January 2022 ",15845437,1250000.00,528.00,2367.00
البديعة,مخطط/1638,قطعة 2745,"Tuesday, 18 January 2022 ",15948599,1450000.00,575.00,2522.00
البديعة,مخطط/1638,قطعة 3296/2,"Monday, 10 January 2022 ",15872327,1200000.00,375.00,3200.00
البديعة,مخطط/1638,قطعة 3298/1,"Sunday, 23 January 2022 ",15988251,200000.00,375.00,533.00
البديعة,مخطط/1638,قطعة 3298/2,"Sunday, 23 January 2022 ",15988235,200000.00,375.00,533.00
البديعة,مخطط/1638,قطعة 3300/1,"Sunday, 23 January 2022 ",15988199,200000.00,375.00,533.00
البديعة,مخطط/1638,قطعة 3300/2,"Sunday, 23 January 2022 ",15988220,200000.00,375.00,533.00
البديعة,مخطط/1638,قطعة 4903,"Thursday, 6 January 2022 ",15777432,782000.00,625.00,1251.00
البديعة,مخطط/1638/ ب,قطعة 1774,"Tuesday, 18 January 2022 ",15945862,745000.00,462.00,1613.00
البديعة,مخطط/1638/ ب,قطعة 2182,"Wednesday, 19 January 2022 ",15951988,840000.00,600.00,1400.00
البديعة,مخطط/1638/ ب,قطعة 2529/2/2,"Wednesday, 12 January 2022 ",15897443,1340000.00,315.00,4254.00
البديعة,مخطط/1638/ ب,قطعة 3287/1/3289/1,"Saturday, 15 January 2022 ",15910945,1200000.00,720.00,1667.00
البديعة,مخطط/1638/ ب,قطعة 3288,"Saturday, 15 January 2022 ",15910929,700000.00,750.00,933.00
البديعة,مخطط/1638/ ب,قطعة 4337/2,"Sunday, 9 January 2022 ",15854272,700000.00,276.00,2536.00
البديعة,مخطط/1638/ ب,قطعة 4654,"Thursday, 6 January 2022 ",15847708,1400000.00,650.00,2154.00
البديعة,مخطط/1638/ ب,قطعة 5106/4/1,"Sunday, 9 January 2022 ",15856864,1295000.00,315.00,4111.00
البديعة,مخطط/2008/ د,قطعة 142/6,"Monday, 17 January 2022 ",15931426,630000.00,400.00,1575.00
البديعة,مخطط/2481,قطعة 29,"Thursday, 27 January 2022 ",16021738,1230000.00,750.00,1640.00
البديعة,مخطط/2481,قطعة 6/2,"Sunday, 23 January 2022 ",15983529,1850000.00,375.00,4933.00
البديعة,مخطط/أخرى,قطعة 4/أ,"Wednesday, 12 January 2022 ",15896755,930000.00,600.00,1550.00
البديعة,مخطط/أخرى,قطعة بدون,"Monday, 3 January 2022 ",15812053,230000.00,121.50,1893.00
البديعة,مخطط/أخرى,قطعة بدون,"Thursday, 20 January 2022 ",15969264,400000.00,111.36,3592.00
البديعة,مخطط/أخرى,قطعة بدون,"Tuesday, 25 January 2022 ",15999308,694000.00,1150.68,603.00
البرية,مخطط/2859,قطعة 117,"Tuesday, 4 January 2022 ",15822894,300000.00,798.30,376.00
البرية,مخطط/2859,قطعة 165,"Tuesday, 11 January 2022 ",15882356,400000.00,630.00,635.00
البرية,مخطط/2859,قطعة 227,"Monday, 10 January 2022 ",15874677,500000.00,900.00,556.00
البرية,مخطط/2859,قطعة 392,"Monday, 24 January 2022 ",15995955,380000.00,690.00,551.00
البرية,مخطط/2859,قطعة 629,"Thursday, 20 January 2022 ",15973132,350000.00,625.00,560.00
البرية,مخطط/2859,قطعة 683,"Sunday, 16 January 2022 ",15922424,390000.00,630.00,619.00
البطحاء,مخطط/أخرى,قطعة بدون,"Thursday, 13 January 2022 ",15900388,82140.00,2.73,30128.00
البيان,مخطط/2670,قطعة 101/3,"Tuesday, 11 January 2022 ",15886825,1561331.00,265.69,5877.00
البيان,مخطط/2670,قطعة 101/3,"Tuesday, 11 January 2022 ",15887683,868829.00,265.69,3270.00
البيان,مخطط/2670,قطعة 281/8,"Thursday, 13 January 2022 ",15909405,967500.00,450.00,2150.00
البيان,مخطط/2670,قطعة 32/8,"Sunday, 9 January 2022 ",15859639,1700000.00,367.79,4622.00
البيان,مخطط/2670,قطعة 416/1,"Monday, 3 January 2022 ",15810460,651089.00,351.94,1850.00
البيان,مخطط/2670,قطعة 416/2,"Monday, 3 January 2022 ",15810516,652106.00,352.49,1850.00
البيان,مخطط/2670,قطعة 416/3,"Monday, 3 January 2022 ",15811298,723158.00,352.76,2050.00
البيان,مخطط/2670,قطعة 416/4,"Tuesday, 11 January 2022 ",15885053,740775.00,352.75,2100.00
البيان,مخطط/2670,قطعة 416/5,"Wednesday, 12 January 2022 ",15894018,740166.00,352.46,2100.00
البيان,مخطط/2670,قطعة 416/6,"Sunday, 9 January 2022 ",15861561,721354.00,351.88,2050.00
البيان,مخطط/2670,قطعة 463/2/2,"Tuesday, 18 January 2022 ",15939260,561000.00,220.72,2542.00
البيان,مخطط/2670,قطعة 597/2,"Wednesday, 5 January 2022 ",15836654,1050000.00,375.00,2800.00
البيان,مخطط/2670/ 28,قطعة 366/2,"Sunday, 30 January 2022 ",16049854,940000.00,450.00,2089.00
البيان,مخطط/2670/ 28,قطعة 414/2,"Monday, 17 January 2022 ",15936007,861000.00,420.00,2050.00
البيان,مخطط/2670/ 28,قطعة 74/2/1,"Sunday, 30 January 2022 ",16054579,702000.00,360.00,1950.00
البيان,مخطط/2670/ أ,قطعة 11/2,"Thursday, 27 January 2022 ",16035501,962500.00,437.50,2200.00
البيان,مخطط/2670/ أ,قطعة 1319,"Wednesday, 26 January 2022 ",16024431,9601707.00,10107.06,950.00
البيان,مخطط/2670/ أ,قطعة 618/1,"Friday, 21 January 2022 ",15975027,924000.00,420.00,2200.00
البيان,مخطط/2670/ أ,قطعة 618/2,"Friday, 21 January 2022 ",15974997,1056000.00,480.00,2200.00
البيان,مخطط/3074,قطعة 293,"Monday, 17 January 2022 ",15933776,1327500.00,750.00,1770.00
التعاون,مخطط/1822,قطعة 106/2,"Wednesday, 5 January 2022 ",15833695,1400000.00,337.50,4148.00
التعاون,مخطط/1822,عدد العقارات 2-أول ق…,"Monday, 31 January 2022 ",16058404,2250000.00,600.00,3750.00
التعاون,مخطط/1822/ س,قطعة 1504,"Thursday, 27 January 2022 ",16033498,3037500.00,675.00,4500.00
التعاون,مخطط/1822/ س,قطعة 171/1,"Tuesday, 11 January 2022 ",15885266,1791626.00,378.00,4740.00
الثقبة,مخطط/1578/ أ,قطعة 49/1,"Wednesday, 26 January 2022 ",16007779,2209320.00,581.40,3800.00
الثقبة,مخطط/3242,قطعة 1637/1,"Sunday, 30 January 2022 ",16053658,782850.00,307.00,2550.00
الثقبة,مخطط/3242,قطعة 1639/1,"Sunday, 30 January 2022 ",16053685,782850.00,307.00,2550.00
الثقبة,مخطط/3242,قطعة 1639/2,"Sunday, 30 January 2022 ",16053615,782850.00,307.00,2550.00
الثقبة,مخطط/3242,قطعة 1641/1,"Monday, 31 January 2022 ",16068606,785400.00,308.00,2550.00
الثقبة,مخطط/3242,قطعة 1641/2,"Sunday, 9 January 2022 ",15856288,796250.00,325.00,2450.00
الجرادية,مخطط/2368,قطعة 137,"Sunday, 2 January 2022 ",15800045,880000.00,196.00,4490.00
الجرادية,مخطط/2368,قطعة 36,"Wednesday, 26 January 2022 ",16019440,950000.00,271.50,3499.00
الجرادية,مخطط/2544,قطعة 23,"Saturday, 8 January 2022 ",15851341,100000.00,323.00,310.00
الجرادية,مخطط/2544,قطعة بدون,"Tuesday, 25 January 2022 ",16014396,800000.00,375.30,2132.00
الجرادية,مخطط/2870,عدد العقارات 2-أول ق…,"Sunday, 9 January 2022 ",15853252,4300000.00,1200.00,3583.00
الجرادية,مخطط/أخرى,قطعة 3,"Tuesday, 4 January 2022 ",15822785,600000.00,212.87,2819.00
الجزيرة,مخطط/1351,قطعة 15/8/110,"Wednesday, 19 January 2022 ",15957699,1000000.00,484.00,2066.00
الجزيرة,مخطط/1351,قطعة 16/-/25,"Thursday, 27 January 2022 ",16004658,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 16/12/62,"Thursday, 27 January 2022 ",16035348,1328796.00,484.00,2745.00
الجزيرة,مخطط/1351,قطعة 16/9/95,"Thursday, 6 January 2022 ",15840028,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 4/3/33,"Sunday, 30 January 2022 ",16053755,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 5/-/710,"Monday, 17 January 2022 ",15925899,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 5/34/255,"Monday, 24 January 2022 ",15992872,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 5/35/78,"Thursday, 6 January 2022 ",15841426,483400.00,484.00,999.00
الجزيرة,مخطط/1351,قطعة 5/36/279,"Thursday, 6 January 2022 ",15839513,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 5/40/357,"Thursday, 27 January 2022 ",15945447,1000000.00,484.00,2066.00
الجزيرة,مخطط/1351,قطعة 5/55/328,"Thursday, 27 January 2022 ",16005285,300000.00,484.00,620.00
الجزيرة,مخطط/1351,قطعة 6/11/19,"Sunday, 23 January 2022 ",15985396,1600000.00,484.00,3306.00
الجزيرة,مخطط/1351,قطعة 7/22/28,"Thursday, 27 January 2022 ",16029909,300000.00,484.00,620.00
الجنادرية,مخطط/2075,قطعة 442,"Tuesday, 4 January 2022 ",15822854,550000.00,337.50,1630.00
الجنادرية,مخطط/2075,قطعة 825/17,"Wednesday, 26 January 2022 ",16026986,1000000.00,324.00,3086.00
الجنادرية,مخطط/2688,قطعة 236,"Tuesday, 4 January 2022 ",15822840,800000.00,600.00,1333.00
الجنادرية,مخطط/2688,قطعة 281/283/2,"Saturday, 22 January 2022 ",15976020,567000.00,270.00,2100.00
الجنادرية,مخطط/2688,قطعة 281/283/3,"Sunday, 23 January 2022 ",15976037,567000.00,270.00,2100.00
الجنادرية,مخطط/3084,قطعة 460,"Tuesday, 25 January 2022 ",16010466,353100.00,625.00,565.00
الجنادرية,مخطط/3181,قطعة 100/1074/1,"Monday, 31 January 2022 ",16067751,540000.00,300.00,1800.00
الجنادرية,مخطط/3181,قطعة 1261/1,"Thursday, 27 January 2022 ",16036382,982572.00,318.63,3084.00
الجنادرية,مخطط/3181,قطعة 450,"Monday, 17 January 2022 ",15927456,600000.00,380.55,1577.00
الجنادرية,مخطط/3181,قطعة 893/2,"Monday, 24 January 2022 ",15991943,1119000.00,300.00,3730.00
الجنادرية,مخطط/3181,قطعة 97/1075/1,"Monday, 31 January 2022 ",16067793,540000.00,300.00,1800.00
الجنادرية,مخطط/3181,قطعة 97/1075/2,"Monday, 31 January 2022 ",16067673,540000.00,300.00,1800.00
الجنادرية,مخطط/3191,قطعة 108/1,"Tuesday, 18 January 2022 ",15945372,1220000.00,270.00,4519.00
الجنادرية,مخطط/3191,قطعة 575/1/1/1,"Wednesday, 5 January 2022 ",15832904,936013.00,337.50,2773.00
الجهه الغربية,مخطط/3941,قطعة 21,"Tuesday, 25 January 2022 ",16011071,2756215.00,2505.65,1100.00
الجهه الغربية,مخطط/3941,قطعة 24,"Wednesday, 19 January 2022 ",15962957,2753641.00,2503.31,1100.00
الحائر,مخطط/3325/ 1,قطعة 148,"Sunday, 16 January 2022 ",15918893,350000.00,600.00,583.00
الحائر,مخطط/3325/ 1,قطعة 23,"Sunday, 16 January 2022 ",15918943,335000.00,600.00,558.00
الحائر,مخطط/3325/ 1,قطعة 25,"Sunday, 16 January 2022 ",15918957,335000.00,600.00,558.00
الحائر,مخطط/3708,قطعة 114,"Monday, 24 January 2022 ",15996898,250000.00,739.31,338.00
الحائر,مخطط/3708,قطعة 115,"Monday, 24 January 2022 ",15996993,250000.00,739.31,338.00
الحائر,مخطط/3708,قطعة 124,"Tuesday, 18 January 2022 ",15942751,250000.00,588.00,425.00
الحائر,مخطط/3708,قطعة 126,"Monday, 17 January 2022 ",15920299,200000.00,588.00,340.00
الحائر,مخطط/3708,قطعة 35,"Tuesday, 4 January 2022 ",15816106,23520.00,588.00,40.00
الحائر,مخطط/3708,قطعة 37,"Thursday, 27 January 2022 ",16033735,23520.00,588.00,40.00
الحائر,مخطط/3708,قطعة 38,"Thursday, 27 January 2022 ",16033812,23520.00,588.00,40.00
الحائر,مخطط/3708,قطعة 47,"Tuesday, 4 January 2022 ",15815432,28048.00,588.00,48.00
الحائر,مخطط/أخرى,قطعة بدون,"Monday, 3 January 2022 ",15812318,406000.00,390.00,1041.00
الحائر,مخطط/أخرى,قطعة بدون,"Wednesday, 5 January 2022 ",15832005,25000.00,400.00,63.00
الحائر,مخطط/أخرى,قطعة بدون,"Wednesday, 5 January 2022 ",15832163,25000.00,400.00,63.00
الحائر,مخطط/أخرى,قطعة بدون,"Wednesday, 26 January 2022 ",16019434,100000.00,400.00,250.00
الحائر,مخطط/أخرى,قطعة بدون,"Wednesday, 26 January 2022 ",16022138,600000.00,404.00,1485.00
الحائر,مخطط/أخرى,قطعة بدون,"Wednesday, 26 January 2022 ",16022236,25000.00,394.87,63.00
الحزم,مخطط/1994,قطعة 126/1/1,"Thursday, 13 January 2022 ",15906562,1015000.00,253.00,4012.00
الحزم,مخطط/1994,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",15962847,2391600.00,1195.80,2000.00
الحزم,مخطط/2105,قطعة 9,"Tuesday, 25 January 2022 ",16014865,500000.00,495.62,1009.00
الحزم,مخطط/2105,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",15962783,3201800.00,1600.90,2000.00
الحزم,مخطط/2191,قطعة 1467/2,"Tuesday, 25 January 2022 ",16013059,360000.00,300.00,1200.00
الحزم,مخطط/2191,قطعة 1820/1,"Thursday, 6 January 2022 ",15843215,630000.00,350.00,1800.00
الحزم,مخطط/2191,قطعة 2544/1,"Wednesday, 12 January 2022 ",15894471,375000.00,300.00,1250.00
الحزم,مخطط/2191,قطعة 652/1,"Monday, 24 January 2022 ",15989137,437500.00,312.50,1400.00
الحزم,مخطط/2191,قطعة 662/1,"Tuesday, 4 January 2022 ",15820101,1170000.00,312.50,3744.00
الحزم,مخطط/2584,قطعة 614,"Sunday, 9 January 2022 ",15852924,1260000.00,900.00,1400.00
الحزم,مخطط/2825,قطعة 1101/2,"Tuesday, 11 January 2022 ",15883684,1000000.00,375.00,2667.00
الحزم,مخطط/2825,قطعة 1944,"Wednesday, 26 January 2022 ",16024448,805000.00,700.00,1150.00
الحزم,مخطط/2825,قطعة 384/1,"Tuesday, 25 January 2022 ",16004145,1280000.00,390.00,3282.00
الحزم,مخطط/2825,قطعة 647,"Thursday, 6 January 2022 ",15840471,1250000.00,525.00,2381.00
الحزم,مخطط/2825,قطعة 649,"Thursday, 6 January 2022 ",15841072,720000.00,525.00,1371.00
الحزم,مخطط/2825,قطعة 689,"Thursday, 13 January 2022 ",15900463,82140.00,15.00,5476.00
الحزم,مخطط/2825,قطعة 804/1,"Sunday, 23 January 2022 ",15983727,362315.00,312.50,1159.00
الحزم,مخطط/2825,قطعة 93,"Monday, 31 January 2022 ",16068317,2200000.00,650.00,3385.00
الحمراء,مخطط/2040/ ب,قطعة 3,"Wednesday, 26 January 2022 ",16026687,42770000.00,9100.00,4700.00
الحمراء,مخطط/2905,قطعة 822,"Tuesday, 18 January 2022 ",15931976,4179150.00,1129.50,3700.00
الحمراء,مخطط/2964,قطعة 1372,"Wednesday, 5 January 2022 ",15834682,13000000.00,1593.66,8157.00
الحمراء,مخطط/2964,قطعة 32,"Tuesday, 4 January 2022 ",15807883,5000000.00,1161.00,4307.00
الحمراء,مخطط/2964,قطعة 47/2/2,"Thursday, 27 January 2022 ",16038068,1347500.00,371.25,3630.00
الحمراء,مخطط/2964,قطعة 675/2,"Tuesday, 18 January 2022 ",15949491,4700000.00,618.75,7596.00
الخالدية,مخطط/2228,قطعة 23,"Wednesday, 19 January 2022 ",15957413,500000.00,528.00,947.00
الخالدية,مخطط/2278,قطعة 700,"Wednesday, 19 January 2022 ",15925962,650000.00,625.00,1040.00
الخالدية,مخطط/أخرى,قطعة بدون,"Wednesday, 12 January 2022 ",15893431,50000.00,120.00,417.00
الخالدية,مخطط/أخرى,قطعة بدون,"Wednesday, 12 January 2022 ",15893496,50000.00,90.00,556.00
الخالدية,مخطط/أخرى,قطعة بدون,"Thursday, 20 January 2022 ",15973189,80000.00,110.00,727.00
الخليج,مخطط/1353/ ج,قطعة 1568/2,"Saturday, 8 January 2022 ",15851051,850000.00,450.00,1889.00
الخليج,مخطط/1353/ ج,قطعة 1841,"Thursday, 27 January 2022 ",16022227,900000.00,450.00,2000.00
الخليج,مخطط/1932,قطعة 1002,"Wednesday, 19 January 2022 ",15956656,1664000.00,800.00,2080.00
الخليج,مخطط/1932,قطعة 1525/2,"Wednesday, 5 January 2022 ",15836430,750000.00,390.00,1923.00
الخليج,مخطط/1932,قطعة 55,"Sunday, 30 January 2022 ",16049536,800000.00,540.00,1481.00
الخليج,مخطط/1932,قطعة 745,"Wednesday, 12 January 2022 ",15896854,590000.00,360.00,1639.00
الخليج,مخطط/1932,قطعة 930/1,"Sunday, 9 January 2022 ",15862275,910800.00,396.00,2300.00
الخليج,مخطط/1932,قطعة 930/2,"Sunday, 9 January 2022 ",15862216,910800.00,396.00,2300.00
الخليج,مخطط/2301,قطعة 65,"Monday, 17 January 2022 ",15931129,934753.00,525.00,1780.00
الخليج,مخطط/2301,قطعة 78,"Tuesday, 25 January 2022 ",16015011,1000000.00,625.00,1600.00
الخليج,مخطط/2934,قطعة 189,"Wednesday, 19 January 2022 ",15958808,5300000.00,1050.00,5048.00
الخليج,مخطط/2934,قطعة 227/1/3,"Sunday, 23 January 2022 ",15986058,1350000.00,339.20,3980.00
الخليج,مخطط/3007,قطعة 337,"Sunday, 30 January 2022 ",16046758,2380000.00,750.00,3173.00
الخليج,مخطط/3007,عدد العقارات 14-أول…,"Monday, 24 January 2022 ",15997899,22978800.00,9820.00,2340.00
الخويلدية,مخطط/2191,قطعة 848/2,"Tuesday, 25 January 2022 ",16014670,300000.00,300.00,1000.00
الخير,مخطط/3312,قطعة 108,"Tuesday, 18 January 2022 ",15948772,1900000.00,960.00,1979.00
الخير,مخطط/3312,قطعة 125/2,"Monday, 31 January 2022 ",16063944,850000.00,450.00,1889.00
الخير,مخطط/3312,قطعة 33/1,"Thursday, 27 January 2022 ",16038905,1020000.00,510.00,2000.00
الخير,مخطط/3312,قطعة 33/2,"Thursday, 27 January 2022 ",16038926,780000.00,390.00,2000.00
الخير,مخطط/3312,قطعة 62/1,"Tuesday, 25 January 2022 ",16013103,1000000.00,480.00,2083.00
الخير,مخطط/3312/ أ,قطعة 1016,"Wednesday, 5 January 2022 ",15832256,1200000.00,800.00,1500.00
الخير,مخطط/3312/ أ,قطعة 1394,"Wednesday, 19 January 2022 ",15962478,1200000.00,840.00,1429.00
الخير,مخطط/3312/ أ,قطعة 1534,"Wednesday, 5 January 2022 ",15829283,1155000.00,800.00,1444.00
الخير,مخطط/3312/ أ,قطعة 1850,"Tuesday, 25 January 2022 ",16010837,1350000.00,800.00,1688.00
الخير,مخطط/3312/ أ,قطعة 1913,"Sunday, 9 January 2022 ",15857010,1200000.00,800.00,1500.00
الخير,مخطط/3312/ أ,قطعة 1941,"Monday, 31 January 2022 ",16064707,1200000.00,800.00,1500.00
الخير,مخطط/3312/ أ,قطعة 2018,"Wednesday, 12 January 2022 ",15895269,2000000.00,800.00,2500.00
الخير,مخطط/3312/ أ,قطعة 329,"Monday, 17 January 2022 ",15927844,1500000.00,840.00,1786.00
الخير,مخطط/3312/ أ,قطعة 421,"Wednesday, 5 January 2022 ",15835801,1300000.00,800.00,1625.00
الخير,مخطط/3312/ أ,قطعة 423,"Sunday, 30 January 2022 ",16049116,1340000.00,800.00,1675.00
الخير,مخطط/3312/ أ,قطعة 724,"Sunday, 23 January 2022 ",15985533,1250000.00,800.00,1563.00
الخير,مخطط/3312/ أ,قطعة 923,"Thursday, 6 January 2022 ",15848904,1350000.00,800.00,1688.00
