Neighbourhood,Plannedـtransactionـdetails,Detailsـtransaction,Date,transactionـnumber,Total_price,Area,Price_per_meter
الرابية,مخطط/3094,قطعة 1475,"Thursday, 3 March 2022 ",16340174,310000.00,416.88,744
الرابية,مخطط/3094,قطعة 167,"Monday, 28 March 2022 ",16582597,320000.00,414,773
الرابية,مخطط/3094,قطعة 179,"Tuesday, 15 March 2022 ",16446150,280000.00,414,676
الرابية,مخطط/3094,قطعة 179,"Wednesday, 23 March 2022 ",16519127,350000.00,414,845
الرابية,مخطط/3094,قطعة 222,"Wednesday, 23 March 2022 ",16524004,300000.00,400,750
الرابية,مخطط/3094,قطعة 418,"Sunday, 27 March 2022 ",16560917,320000.00,417.68,766
الرابية,مخطط/3094,قطعة 674,"Thursday, 24 March 2022 ",16540137,350000.00,414,845
الرابية,مخطط/3094,قطعة 842,"Tuesday, 8 March 2022 ",16386040,335000.00,414,809
الرابية,مخطط/3094,قطعة 864,"Sunday, 6 March 2022 ",16358892,330000.00,414,797
الرابية,مخطط/3095,قطعة 1023/1,"Tuesday, 22 March 2022 ",16509487,350000.00,450,778
الرابية,مخطط/3095,قطعة 1030/2,"Sunday, 20 March 2022 ",16474441,315000.00,450,700
الرابية,مخطط/3095,قطعة 1067/2,"Sunday, 20 March 2022 ",16479435,350000.00,450,778
الرابية,مخطط/3095,قطعة 1152,"Wednesday, 9 March 2022 ",16393201,580000.00,954,608
الرابية,مخطط/3095,قطعة 1347,"Tuesday, 8 March 2022 ",16386138,600000.00,900,667
الرابية,مخطط/3095,قطعة 1363/1,"Wednesday, 9 March 2022 ",16396021,270000.00,450,600
الرابية,مخطط/3095,قطعة 1363/1,"Sunday, 20 March 2022 ",16480650,350000.00,450,778
الرابية,مخطط/3095,قطعة 179,"Monday, 28 March 2022 ",16581361,710000.00,936,759
الرابية,مخطط/3095,قطعة 2/117,"Thursday, 24 March 2022 ",16527934,360000.00,450,800
الرابية,مخطط/3095,قطعة 271,"Wednesday, 16 March 2022 ",16446969,645000.00,900,717
الرابية,مخطط/3095,قطعة 314,"Sunday, 13 March 2022 ",16415913,515000.00,900,572
الرابية,مخطط/3095,قطعة 358/1,"Sunday, 27 March 2022 ",16560829,275000.00,450,611
الرابية,مخطط/3095,قطعة 358/1,"Monday, 28 March 2022 ",16575144,365000.00,450,811
الرابية,مخطط/3095,قطعة 488,"Wednesday, 23 March 2022 ",16516805,600000.00,885,678
الرابية,مخطط/3095,قطعة 630,"Monday, 21 March 2022 ",16475461,690000.00,900,767
الرابية,مخطط/3095,قطعة 700,"Sunday, 6 March 2022 ",16356150,525000.00,901,583
الرابية,مخطط/3095,قطعة 798,"Sunday, 27 March 2022 ",16559915,700000.00,900,778
الرابية,مخطط/3095,قطعة 862/2,"Sunday, 6 March 2022 ",16354710,265000.00,300,883
الرابية,مخطط/3095,قطعة 862/3,"Sunday, 6 March 2022 ",16355075,265000.00,300,883
الرابية,مخطط/3095,قطعة 879/2,"Saturday, 26 March 2022 ",16549603,350000.00,450,778
الرابية,مخطط/3095,قطعة 987/2,"Sunday, 20 March 2022 ",16483363,310000.00,459,675
الرابية,مخطط/3095,قطعة 991,"Monday, 14 March 2022 ",16437022,650000.00,930,699
الرابية,مخطط/3096,قطعة 156/1,"Tuesday, 1 March 2022 ",16318906,285000.00,450,633
الرابية,مخطط/3096,قطعة 174/2,"Tuesday, 15 March 2022 ",16435447,250000.00,450,556
الرابية,مخطط/3096,قطعة 174/2,"Sunday, 20 March 2022 ",16469120,310000.00,450,689
الرابية,مخطط/3096,قطعة 193/2,"Thursday, 10 March 2022 ",16408545,330000.00,450,733
الرابية,مخطط/3096,قطعة 254/2,"Sunday, 20 March 2022 ",16469582,310000.00,452.25,685
الرابية,مخطط/3096,قطعة 325/2,"Tuesday, 15 March 2022 ",16447356,310000.00,450,689
الرابية,مخطط/3096,قطعة 328/2,"Thursday, 17 March 2022 ",16456504,290000.00,450,644
الرابية,مخطط/3096,قطعة 449,"Monday, 7 March 2022 ",16375536,600000.00,907.5,661
الرابية,مخطط/3096,قطعة 530/1,"Wednesday, 9 March 2022 ",16396028,300000.00,455,659
الرابية,مخطط/3096,قطعة 801,"Tuesday, 8 March 2022 ",16385222,625000.00,924,676
الرابية,مخطط/3096,قطعة 802,"Tuesday, 8 March 2022 ",16385288,625000.00,924,676
الرابية,مخطط/3097,قطعة 115,"Sunday, 6 March 2022 ",16360377,350000.00,500,700
الرابية,مخطط/3097,قطعة 1158,"Wednesday, 2 March 2022 ",16332899,260000.00,420,619
الرابية,مخطط/3097,قطعة 1262,"Sunday, 6 March 2022 ",16362053,300000.00,447,671
الرابية,مخطط/3097,قطعة 1451,"Sunday, 6 March 2022 ",16359320,110000.00,437.5,251
الرابية,مخطط/3097,قطعة 1452,"Sunday, 20 March 2022 ",16481908,300000.00,437.5,686
الرابية,مخطط/3097,قطعة 1462,"Thursday, 17 March 2022 ",16466043,310000.00,453.5,684
الرابية,مخطط/3097,قطعة 1486,"Thursday, 24 March 2022 ",16525268,310000.00,437.5,709
الرابية,مخطط/3097,قطعة 1558,"Sunday, 27 March 2022 ",16563905,315000.00,400,788
الرابية,مخطط/3097,قطعة 1611,"Sunday, 6 March 2022 ",16359550,240000.00,400,600
الرابية,مخطط/3097,قطعة 1643,"Monday, 7 March 2022 ",16362121,280000.00,400,700
الرابية,مخطط/3097,قطعة 1882,"Thursday, 3 March 2022 ",16346687,310000.00,427.5,725
الرابية,مخطط/3097,قطعة 1888,"Wednesday, 9 March 2022 ",16387230,275000.00,400,688
الرابية,مخطط/3097,قطعة 1918,"Wednesday, 23 March 2022 ",16509979,315000.00,440,716
الرابية,مخطط/3097,قطعة 1946,"Tuesday, 1 March 2022 ",16294373,290000.00,425.28,682
الرابية,مخطط/3097,قطعة 2099,"Wednesday, 23 March 2022 ",16509394,295000.00,400,738
الرابية,مخطط/3097,قطعة 2145,"Thursday, 31 March 2022 ",16622684,310000.00,400,775
الرابية,مخطط/3097,قطعة 2212,"Thursday, 24 March 2022 ",16530320,310000.00,400,775
الرابية,مخطط/3097,قطعة 2382,"Monday, 21 March 2022 ",16492985,230000.00,437,526
الرابية,مخطط/3097,قطعة 2692,"Thursday, 10 March 2022 ",16397211,270000.00,400,675
الرابية,مخطط/3097,قطعة 2692,"Tuesday, 22 March 2022 ",16496649,310000.00,400,775
الرابية,مخطط/3097,قطعة 2936,"Tuesday, 1 March 2022 ",16291514,300000.00,425,706
الرابية,مخطط/3097,قطعة 2938,"Tuesday, 1 March 2022 ",16291541,300000.00,425,706
الرابية,مخطط/3097,قطعة 3013,"Monday, 7 March 2022 ",16375812,270000.00,428.85,630
الرابية,مخطط/3097,قطعة 318,"Monday, 28 March 2022 ",16581238,335000.00,420,798
الرابية,مخطط/3097,قطعة 342,"Sunday, 13 March 2022 ",16406930,300000.00,400,750
الرابية,مخطط/3097,قطعة 3759,"Saturday, 12 March 2022 ",16411192,290000.00,421.95,687
الرابية,مخطط/3097,قطعة 3762,"Thursday, 17 March 2022 ",16458083,300000.00,402.33,746
الرابية,مخطط/3097,قطعة 3824,"Wednesday, 9 March 2022 ",16387023,250000.00,400,625
الرابية,مخطط/3097,قطعة 3824,"Thursday, 10 March 2022 ",16397022,295000.00,400,738
الرابية,مخطط/3097,قطعة 3824,"Wednesday, 30 March 2022 ",16609030,330000.00,400,825
الرابية,مخطط/3097,قطعة 3859,"Monday, 21 March 2022 ",16491473,290000.00,411.29,705
الرابية,مخطط/3097,قطعة 3887/2,"Wednesday, 16 March 2022 ",16452215,175000.00,200,875
الرابية,مخطط/3097,قطعة 3970,"Wednesday, 30 March 2022 ",16606902,288000.00,400,720
الرابية,مخطط/3097,قطعة 40,"Sunday, 6 March 2022 ",16358878,300000.00,400,750
الرابية,مخطط/3097,قطعة 4097,"Sunday, 13 March 2022 ",16375175,265000.00,425,624
الرابية,مخطط/3097,قطعة 4173,"Monday, 21 March 2022 ",16481471,280000.00,400,700
الرابية,مخطط/3097,قطعة 4229/2,"Tuesday, 1 March 2022 ",16322047,200000.00,225,889
الرابية,مخطط/3097,قطعة 4233,"Wednesday, 2 March 2022 ",16332697,250000.00,400,625
الرابية,مخطط/3097,قطعة 4233,"Thursday, 17 March 2022 ",16461947,290000.00,400,725
الرابية,مخطط/3097,قطعة 483,"Sunday, 27 March 2022 ",16539462,340000.00,400,850
الرابية,مخطط/3097,قطعة 56,"Tuesday, 22 March 2022 ",16508642,320000.00,400,800
الرابية,مخطط/3097,قطعة 576,"Wednesday, 16 March 2022 ",16455629,300000.00,440,682
الرابية,مخطط/3097,قطعة 586,"Wednesday, 23 March 2022 ",16516066,300000.00,420,714
الرابية,مخطط/3097,قطعة 595,"Wednesday, 9 March 2022 ",16394212,225000.00,407.13,553
الرابية,مخطط/3097,قطعة 69,"Wednesday, 23 March 2022 ",16520873,303000.00,400,758
الرابية,مخطط/3097,قطعة 807,"Sunday, 20 March 2022 ",16474281,260000.00,400,650
الرابية,مخطط/3097,قطعة 809,"Monday, 28 March 2022 ",16577445,300000.00,400,750
الرابية,مخطط/3097,قطعة 920,"Wednesday, 23 March 2022 ",16520638,320000.00,400,800
الرابية,مخطط/3099,قطعة 762,"Thursday, 3 March 2022 ",16347221,635000.00,917.06,692
الراية,مخطط/3149,قطعة 1726,"Wednesday, 23 March 2022 ",16505074,500000.00,930,538
الراية,مخطط/3149,قطعة 2603,"Monday, 14 March 2022 ",16408051,535000.00,930,575
الربوة,مخطط/2206,قطعة 195,"Thursday, 17 March 2022 ",16452947,1300000.00,500,"2,600"
الربوة,مخطط/231,قطعة 10/1,"Monday, 21 March 2022 ",16489904,940107.00,260,"3,616"
الربوة,مخطط/2328,قطعة 57و58,"Wednesday, 30 March 2022 ",16601725,1600000.00,525,"3,048"
الربوة,مخطط/315,قطعة 248,"Monday, 7 March 2022 ",16370161,500000.00,500,"1,000"
الربوة,مخطط/315,قطعة 6/188,"Tuesday, 8 March 2022 ",16386829,3350000.00,562.5,"5,956"
الربوة,مخطط/315,عدد العقارات 4-أول ق…,"Monday, 28 March 2022 ",16576108,11000000.00,"2,250.00","4,889"
الربوة,مخطط/720,قطعة 1067,"Monday, 7 March 2022 ",16375954,1600000.00,525,"3,048"
الربوة,مخطط/720,قطعة 12/1,"Wednesday, 23 March 2022 ",16518296,800000.00,532.5,"1,502"
الربوة,مخطط/720,قطعة 1240/12,"Wednesday, 9 March 2022 ",16390325,613423.00,312,"1,966"
الربوة,مخطط/720,قطعة 184/2,"Thursday, 24 March 2022 ",16530871,1100000.00,374.5,"2,937"
الربوة,مخطط/720,قطعة 1895/أ/6/2,"Thursday, 3 March 2022 ",16344616,2100000.00,410.34,"5,118"
الربوة,مخطط/720,قطعة 304,"Wednesday, 23 March 2022 ",16516961,1800000.00,450,"4,000"
الربوة,مخطط/720,قطعة 371/2,"Thursday, 3 March 2022 ",16342791,750000.00,475,"1,579"
الربوة,مخطط/720,قطعة 503/6,"Wednesday, 2 March 2022 ",16334488,2000000.00,600,"3,333"
الربوة,مخطط/720,قطعة 510/11,"Monday, 7 March 2022 ",16299863,1450000.00,550,"2,636"
الربوة,مخطط/720,قطعة 568/9,"Tuesday, 1 March 2022 ",16320483,2800000.00,660,"4,242"
الربوة,مخطط/720,قطعة 598,"Tuesday, 22 March 2022 ",16508018,1244892.00,446.87,"2,786"
الربوة,مخطط/720,قطعة 673,"Thursday, 3 March 2022 ",16339030,1900000.00,625,"3,040"
الربوة,مخطط/720,قطعة 76,"Wednesday, 16 March 2022 ",16454256,1300000.00,459,"2,832"
الربوة,مخطط/720,قطعة 792/1/1,"Sunday, 27 March 2022 ",16560971,1800000.00,262.5,"6,857"
الربوة,مخطط/720,قطعة 810/2/5,"Tuesday, 22 March 2022 ",16506221,860000.00,260,"3,308"
الربيع,مخطط/1637/ ك,قطعة 1480/1,"Monday, 28 March 2022 ",16576060,1800000.00,540,"3,333"
الربيع,مخطط/1637/ ك,قطعة 1532/4,"Tuesday, 22 March 2022 ",16502531,1750000.00,245,"7,143"
الربيع,مخطط/1637/ ك,قطعة 1583/1,"Tuesday, 22 March 2022 ",16509628,3500000.00,405,"8,642"
الربيع,مخطط/1637/ ك,قطعة 2730/2,"Thursday, 31 March 2022 ",16623590,2145000.00,390,"5,500"
الربيع,مخطط/1637/ ك,عدد العقارات 4-أول ق…,"Tuesday, 1 March 2022 ",16318899,17823900.00,"3,363.00","5,300"
الربيع,مخطط/2917,قطعة 173/1/1,"Tuesday, 1 March 2022 ",16317542,3500000.00,440.1,"7,953"
الربيع,مخطط/3090,قطعة 146/1,"Thursday, 31 March 2022 ",16622773,5100000.00,432.5,"11,792"
الرحبه,مخطط/1638/ ب,قطعة 1748,"Thursday, 31 March 2022 ",16621853,200000.00,525,381
